"tripduration","starttime","stoptime","start station id","start station name","start station latitude","start station longitude","end station id","end station name","end station latitude","end station longitude","bikeid","usertype","birth year","gender"
"1143","2013-07-01 00:08:10","2013-07-01 00:27:13","237","E 11 St & 2 Ave","40.73047309","-73.98672378","471","Grand St & Havemeyer St","40.71286844","-73.95698119","18248","Subscriber","1987","1"
"1224","2013-07-01 00:08:43","2013-07-01 00:29:07","357","E 11 St & Broadway","40.73261787","-73.99158043","79","Franklin St & W Broadway","40.71911552","-74.00666661","15105","Customer",\N,"0"
"1243","2013-07-01 00:08:50","2013-07-01 00:29:33","357","E 11 St & Broadway","40.73261787","-73.99158043","79","Franklin St & W Broadway","40.71911552","-74.00666661","15211","Customer",\N,"0"
"1067","2013-07-01 00:09:25","2013-07-01 00:27:12","539","Metropolitan Ave & Bedford Ave","40.71534825","-73.96024116","2003","1 Ave & E 18 St","40.73416059","-73.98024289","20165","Subscriber","1984","1"
"683","2013-07-01 00:09:27","2013-07-01 00:20:50","382","University Pl & E 14 St","40.73492695","-73.99200509","347","W Houston St & Hudson St","40.72873888","-74.00748842","18759","Subscriber","1984","1"
"1141","2013-07-01 00:09:35","2013-07-01 00:28:36","251","Mott St & Prince St","40.72317958","-73.99480012","368","Carmine St & 6 Ave","40.73038599","-74.00214988","16278","Subscriber","1973","1"
"1225","2013-07-01 00:09:37","2013-07-01 00:30:02","225","W 14 St & The High Line","40.74195138","-74.00803013","326","E 11 St & 1 Ave","40.72953837","-73.98426726","14898","Subscriber","1982","1"
"191","2013-07-01 00:09:54","2013-07-01 00:13:05","416","Cumberland St & Lafayette Ave","40.68753406","-73.97265183","258","DeKalb Ave & Vanderbilt Ave","40.68940747","-73.96885458","20563","Subscriber","1955","1"
"305","2013-07-01 00:10:15","2013-07-01 00:15:20","325","E 19 St & 3 Ave","40.73624527","-73.98473765","382","University Pl & E 14 St","40.73492695","-73.99200509","19199","Subscriber","1953","2"
"779","2013-07-01 00:10:35","2013-07-01 00:23:34","224","Spruce St & Nassau St","40.71146364","-74.00552427","349","Rivington St & Ridge St","40.71850211","-73.98329859","16320","Subscriber","1985","2"
"1711","2013-07-01 00:11:16","2013-07-01 00:39:47","265","Stanton St & Chrystie St","40.72229346","-73.99147535","403","E 2 St & 2 Ave","40.72502876","-73.99069656","17664","Customer",\N,"0"
"978","2013-07-01 00:11:31","2013-07-01 00:27:49","385","E 55 St & 2 Ave","40.75797322","-73.96603308","297","E 15 St & 3 Ave","40.734232","-73.986923","15331","Subscriber","1977","1"
"788","2013-07-01 00:11:40","2013-07-01 00:24:48","403","E 2 St & 2 Ave","40.72502876","-73.99069656","393","E 5 St & Avenue C","40.72299208","-73.97995466","19454","Subscriber","1954","2"
"1047","2013-07-01 00:11:56","2013-07-01 00:29:23","357","E 11 St & Broadway","40.73261787","-73.99158043","79","Franklin St & W Broadway","40.71911552","-74.00666661","16708","Customer",\N,"0"
"1622","2013-07-01 00:12:15","2013-07-01 00:39:17","482","W 15 St & 7 Ave","40.73935542","-73.99931783","322","Clinton St & Tillary St","40.696192","-73.991218","17244","Customer",\N,"0"
"528","2013-07-01 00:12:16","2013-07-01 00:21:04","430","York St & Jay St","40.7014851","-73.98656928","343","Clinton Ave & Flushing Ave","40.69794","-73.96986848","19005","Customer",\N,"0"
"1446","2013-07-01 00:12:18","2013-07-01 00:36:24","161","LaGuardia Pl & W 3 St","40.72917025","-73.99810231","2004","6 Ave & Broome St","40.724399","-74.004704","18859","Customer",\N,"0"
