"Spark_Version" "Sparkling_Water_Version" "H2O_Version" "H2O_Release_Name" "H2O_Release_Patch_Number"
"1" "2.2" "2.2.38" "3.24.0.1" "rel-yates" "1"
"126" "2.2" "2.2.37" "3.22.1.6" "rel-xu" "6"
"125" "2.2" "2.2.36" "3.22.1.5" "rel-xu" "5"
"124" "2.2" "2.2.35" "3.22.1.4" "rel-xu" "4"
"123" "2.2" "2.2.34" "3.22.1.3" "rel-xu" "3"
"122" "2.2" "2.2.33" "3.22.1.2" "rel-xu" "2"
"121" "2.2" "2.2.32" "3.22.0.5" "rel-xia" "5"
"120" "2.2" "2.2.31" "3.22.0.4" "rel-xia" "4"
"119" "2.2" "2.2.30" "3.22.0.3" "rel-xia" "3"
"118" "2.2" "2.2.29" "3.22.0.2" "rel-xia" "2"
"117" "2.2" "2.2.28" "3.22.0.1" "rel-xia" "1"
"116" "2.2" "2.2.27" "3.20.0.10" "rel-wright" "10"
"115" "2.2" "2.2.26" "3.20.0.9" "rel-wright" "9"
"114" "2.2" "2.2.25" "3.20.0.8" "rel-wright" "8"
"113" "2.2" "2.2.24" "3.20.0.7" "rel-wright" "7"
"112" "2.2" "2.2.23" "3.20.0.6" "rel-wright" "6"
"111" "2.2" "2.2.22" "3.20.0.5" "rel-wright" "5"
"110" "2.2" "2.2.21" "3.20.0.4" "rel-wright" "4"
"2" "2.2" "2.2.20" "3.20.0.3" "rel-wright" "3"
"3" "2.2" "2.2.19" "3.20.0.2" "rel-wright" "2"
"4" "2.2" "2.2.18" "3.20.0.1" "rel-wright" "1"
"5" "2.2" "2.2.17" "3.18.0.11" "rel-wolpert" "11"
"6" "2.2" "2.2.16" "3.18.0.10" "rel-wolpert" "10"
"7" "2.2" "2.2.15" "3.18.0.9" "rel-wolpert" "9"
"8" "2.2" "2.2.14" "3.18.0.9" "rel-wolpert" "9"
"9" "2.2" "2.2.13" "3.18.0.8" "rel-wolpert" "8"
"10" "2.2" "2.2.12" "3.18.0.7" "rel-wolpert" "7"
"11" "2.2" "2.2.11" "3.18.0.5" "rel-wolpert" "5"
"12" "2.2" "2.2.10" "3.18.0.4" "rel-wolpert" "4"
"13" "2.2" "2.2.9" "3.18.0.2" "rel-wolpert" "2"
"14" "2.2" "2.2.8" "3.18.0.1" "rel-wolpert" "1"
"15" "2.2" "2.2.7" "3.16.0.4" "rel-wheeler" "4"
"16" "2.2" "2.2.6" "3.16.0.2" "rel-wheeler" "2"
"17" "2.2" "2.2.5" "3.16.0.2" "rel-wheeler" "2"
"18" "2.2" "2.2.4" "3.16.0.2" "rel-wheeler" "2"
"19" "2.2" "2.2.3" "3.16.0.1" "rel-wheeler" "1"
"20" "2.2" "2.2.2" "3.14.0.7" "rel-weierstrass" "7"
"21" "2.2" "2.2.1" "3.14.0.6" "rel-weierstrass" "6"
"22" "2.2" "2.2.0" "3.14.0.2" "rel-weierstrass" "2"
