"Spark_Version" "Sparkling_Water_Version" "H2O_Version" "H2O_Release_Name" "H2O_Release_Patch_Number"
"1" "2.1" "2.1.46" "3.22.0.5" "rel-xia" "5"
"120" "2.1" "2.1.45" "3.22.0.4" "rel-xia" "4"
"119" "2.1" "2.1.44" "3.22.0.3" "rel-xia" "3"
"118" "2.1" "2.1.43" "3.22.0.2" "rel-xia" "2"
"117" "2.1" "2.1.42" "3.22.0.1" "rel-xia" "1"
"116" "2.1" "2.1.41" "3.20.0.10" "rel-wright" "10"
"115" "2.1" "2.1.40" "3.20.0.9" "rel-wright" "9"
"114" "2.1" "2.1.39" "3.20.0.8" "rel-wright" "8"
"113" "2.1" "2.1.38" "3.20.0.7" "rel-wright" "7"
"112" "2.1" "2.1.37" "3.20.0.6" "rel-wright" "6"
"111" "2.1" "2.1.36" "3.20.0.5" "rel-wright" "5"
"110" "2.1" "2.1.35" "3.20.0.4" "rel-wright" "4"
"2" "2.1" "2.1.34" "3.20.0.3" "rel-wright" "3"
"3" "2.1" "2.1.33" "3.20.0.2" "rel-wright" "2"
"4" "2.1" "2.1.32" "3.20.0.1" "rel-wright" "1"
"5" "2.1" "2.1.31" "3.18.0.11" "rel-wolpert" "11"
"6" "2.1" "2.1.30" "3.18.0.10" "rel-wolpert" "10"
"7" "2.1" "2.1.29" "3.18.0.9" "rel-wolpert" "9"
"8" "2.1" "2.1.28" "3.18.0.9" "rel-wolpert" "9"
"9" "2.1" "2.1.27" "3.18.0.8" "rel-wolpert" "8"
"10" "2.1" "2.1.26" "3.18.0.7" "rel-wolpert" "7"
"11" "2.1" "2.1.25" "3.18.0.5" "rel-wolpert" "5"
"12" "2.1" "2.1.24" "3.18.0.4" "rel-wolpert" "4"
"13" "2.1" "2.1.23" "3.18.0.2" "rel-wolpert" "2"
"14" "2.1" "2.1.22" "3.18.0.1" "rel-wolpert" "1"
"15" "2.1" "2.1.21" "3.16.0.4" "rel-wheeler" "4"
"16" "2.1" "2.1.20" "3.16.0.2" "rel-wheeler" "2"
"17" "2.1" "2.1.19" "3.16.0.2" "rel-wheeler" "2"
"18" "2.1" "2.1.18" "3.16.0.2" "rel-wheeler" "2"
"19" "2.1" "2.1.17" "3.16.0.1" "rel-wheeler" "1"
"20" "2.1" "2.1.16" "3.14.0.7" "rel-weierstrass" "7"
"21" "2.1" "2.1.15" "3.14.0.6" "rel-weierstrass" "6"
"22" "2.1" "2.1.14" "3.14.0.2" "rel-weierstrass" "2"
"23" "2.1" "2.1.13" "3.10.5.4" "rel-vajda" "4"
"24" "2.1" "2.1.12" "3.10.5.4" "rel-vajda" "4"
"25" "2.1" "2.1.11" "3.10.5.3" "rel-vajda" "3"
"26" "2.1" "2.1.10" "3.10.5.2" "rel-vajda" "2"
"27" "2.1" "2.1.9" "3.10.5.1" "rel-vajda" "1"
"28" "2.1" "2.1.8" "3.10.4.8" "rel-ueno" "8"
"29" "2.1" "2.1.7" "3.10.4.7" "rel-ueno" "7"
"30" "2.1" "2.1.6" "3.10.4.7" "rel-ueno" "7"
"31" "2.1" "2.1.5" "3.10.4.6" "rel-ueno" "6"
"32" "2.1" "2.1.4" "3.10.4.5" "rel-ueno" "5"
"33" "2.1" "2.1.3" "3.10.4.3" "rel-ueno" "3"
"34" "2.1" "2.1.2" "3.10.4.2" "rel-ueno" "2"
"35" "2.1" "2.1.1" "3.10.4.2" "rel-ueno" "2"
"36" "2.1" "2.1.0" "3.10.3.2" "rel-tverberg" "2"
